day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2025-09-05,SHORT,TARGET,4,24781.75,24731.75,42.5,-14.35,-14.15,0.2,-16.12,-15.95,0.17,-17.92,-17.78,0.14,-19.77,-19.66,0.11
2025-09-09,SHORT,STOP,0,24847.25,24872.25,-7.5,-0.2,2.88,3.08,-3.47,0.03,3.5,-7.17,-3.64,3.53,-11.28,-8.13,3.15
2025-09-10,LONG,STOP,6,24999.95,24974.95,-7.5,-14.91,-16.14,-1.23,-16.49,-17.54,-1.05,-18.08,-18.94,-0.86,-19.67,-20.33,-0.66
2025-09-10,SHORT,STOP,6,24971.75,24996.75,-7.5,-13.68,-14.92,-1.24,-15.53,-16.6,-1.07,-17.43,-18.31,-0.88,-19.41,-20.08,-0.67
2025-09-16,LONG,TARGET,0,25157.45,25207.45,42.5,-0.83,1.06,1.89,-4.08,-2.29,1.79,-7.71,-6.11,1.6,-11.66,-10.36,1.3
2025-09-19,SHORT,STOP,4,25316.05,25341.05,-7.5,-12.48,-13.82,-1.34,-14.49,-15.66,-1.17,-16.58,-17.54,-0.97,-18.74,-19.48,-0.74
2025-09-22,LONG,STOP,1,25317.0,25292.0,-7.5,-8.34,-5.6,2.73,-10.88,-8.38,2.5,-13.53,-11.38,2.15,-16.26,-14.55,1.71
2025-09-30,SHORT,TARGET,0,24659.95,24609.95,42.5,0.79,2.58,1.79,-2.35,-0.53,1.83,-6.06,-4.34,1.73,-10.31,-8.83,1.48
2025-10-01,LONG,STOP,6,24673.8,24648.8,-7.5,-16.07,-14.59,1.48,-17.48,-16.22,1.26,-18.9,-17.87,1.03,-20.29,-19.51,0.78
2025-10-06,LONG,TARGET,1,24953.6,25003.6,42.5,-7.0,-6.32,0.68,-9.67,-9.07,0.6,-12.5,-11.99,0.51,-15.44,-15.05,0.39
2025-10-14,SHORT,STOP,0,25207.55,25232.55,-7.5,0.26,0.25,-0.01,-2.91,-3.2,-0.29,-6.59,-7.03,-0.44,-10.76,-11.22,-0.46
2025-10-23,LONG,STOP,5,26058.9,26033.9,-7.5,-15.04,-13.54,1.5,-16.61,-15.32,1.29,-18.19,-17.13,1.06,-19.77,-18.96,0.81
2025-10-27,LONG,TARGET,1,25935.85,25985.85,42.5,-6.26,-5.58,0.68,-8.96,-8.34,0.61,-11.85,-11.33,0.52,-14.91,-14.5,0.41
2025-10-30,SHORT,STOP,5,25905.85,25930.85,-7.5,-14.35,-15.64,-1.29,-16.11,-17.21,-1.1,-17.91,-18.81,-0.9,-19.77,-20.45,-0.69
